"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Αιτιατική: αρσενικό","«Βλέπω ___ δάσκαλο.» Ποια είναι η σωστή μορφή;","τον","ο","του","τους","Το άμεσο αντικείμενο στην αιτιατική παίρνει «τον»: βλέπω τον δάσκαλο."
"Ονομαστική vs αιτιατική: θηλυκό (υποκείμενο)","«___ μητέρα μαγειρεύει.» Ποια είναι η σωστή μορφή;","Η","Την","Της","Οι","Το υποκείμενο στην ονομαστική παίρνει «η»: η μητέρα. Αντικείμενο θα ήταν «την μητέρα»."
"Αιτιατική: θηλυκό","«Αγαπώ ___ γάτα.» Ποια είναι η σωστή μορφή;","την","η","της","τις","Το άμεσο αντικείμενο στην αιτιατική παίρνει «την»: αγαπώ την γάτα."
"Αιτιατική: ουδέτερο","«Κλείνω ___ παράθυρο.» Ποια είναι η σωστή μορφή;","το","τον","την","τα","Το ουδέτερο ουσιαστικό δεν αλλάζει μορφή στην αιτιατική: το παράθυρο (ίδιο στην ονομαστική και αιτιατική)."
"Ονομαστική vs αιτιατική: επιλογή","«___ σπίτι είναι μεγάλο.» Ποια είναι η σωστή μορφή;","Το","Τον","Την","Τα","Το σπίτι είναι ουδέτερο υποκείμενο (ονομαστική): το σπίτι. Το -ν ανήκει στην αιτιατική αρσενικού."
"Ονομαστική vs αιτιατική: κατάληξη","Ποια μορφή δείχνει ότι ο «φίλος» είναι αντικείμενο;","τον φίλο","ο φίλος","φίλοι","του φίλου","Στην αιτιατική το αρσενικό αλλάζει: ο φίλος (ονομαστική) → τον φίλο (αιτιατική)."
"Άρνηση: δεν + ρήμα","«Εγώ ___ καταλαβαίνω.» Ποια είναι η σωστή άρνηση;","δεν","όχι","μην","μη","Η άρνηση στον ενεστώτα γίνεται με «δεν» πριν από το ρήμα: εγώ δεν καταλαβαίνω."
"Άρνηση: θέση στη φράση","«Ο Νίκος ___ πίνει καφέ.» Ποια λέξη συμπληρώνει σωστά;","δεν","όχι","μη","ποτέ","Το «δεν» μπαίνει αμέσως πριν από το ρήμα: ο Νίκος δεν πίνει καφέ."
"Άρνηση: είμαι","«Εγώ ___ είμαι κουρασμένος.» Ποια λέξη συμπληρώνει σωστά;","δεν","δε να","όχι","δεν το","Η άρνηση του «είμαι» γίνεται με «δεν»: εγώ δεν είμαι κουρασμένος."
"Άρνηση: έχω","«Εμείς ___ έχουμε αυτοκίνητο.» Ποια λέξη συμπληρώνει σωστά;","δεν","μη","μην","όχι","Η άρνηση του «έχω» γίνεται με «δεν»: εμείς δεν έχουμε αυτοκίνητο."
"Πληθυντικός: αρσενικό -ος → -οι","Ποιος είναι ο πληθυντικός του «ο φίλος»;","οι φίλοι","οι φίλους","τα φίλα","οι φίλες","Τα αρσενικά σε -ος κάνουν πληθυντικό σε -οι: ο φίλος → οι φίλοι."
"Πληθυντικός: αρσενικό -ας → -ες","Ποιος είναι ο πληθυντικός του «ο μαθητής»;","οι μαθητές","οι μαθητοί","τα μαθητά","ο μαθητές","Τα αρσενικά σε -ής/-ές κάνουν πληθυντικό σε -ές: ο μαθητής → οι μαθητές."
"Πληθυντικός: θηλυκό -α → -ες","Ποιος είναι ο πληθυντικός του «η ώρα»;","οι ώρες","οι ώρας","τα ώρα","ο ώρες","Τα θηλυκά σε -α κάνουν πληθυντικό σε -ες: η ώρα → οι ώρες."
"Πληθυντικός: θηλυκό -η → -ες","Ποιος είναι ο πληθυντικός του «η πόλη»;","οι πόλεις","οι πόλης","τα πόλη","ο πόλεις","Τα θηλυκά σε -η κάνουν πληθυντικό σε -εις: η πόλη → οι πόλεις."
"Πληθυντικός: ουδέτερο -ο → -α","Ποιος είναι ο πληθυντικός του «το βιβλίο»;","τα βιβλία","οι βιβλίοι","οι βιβλίες","τα βιβλίος","Τα ουδέτερα σε -ο κάνουν πληθυντικό σε -α: το βιβλίο → τα βιβλία."
"Πληθυντικός: ουδέτερο -ι → -ια","Ποιος είναι ο πληθυντικός του «το παιδί»;","τα παιδιά","οι παιδοί","οι παιδές","τα παιδίος","Τα ουδέτερα σε -ι κάνουν πληθυντικό σε -ιά: το παιδί → τα παιδιά."
