"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Ταξίδια: το ξενοδοχείο","Πώς λέμε το μέρος όπου κοιμάσαι όταν ταξιδεύεις σε άλλη πόλη;","το ξενοδοχείο","το εστιατόριο","το μουσείο","το κατάστημα","Το ξενοδοχείο είναι ο τόπος όπου διαμένεις κατά τη διάρκεια ταξιδιού. Μπορείς να κλείσεις μονόκλινο ή δίκλινο δωμάτιο."
"Ταξίδια: το δωμάτιο","Πώς λέμε τον χώρο στο ξενοδοχείο όπου κοιμάσαι;","το δωμάτιο","η ρεσεψιόν","το λόμπι","ο διάδρομος","Το δωμάτιο είναι ο χώρος του ξενοδοχείου όπου κοιμάσαι. Μπορείς να κλείσεις μονόκλινο ή δίκλινο."
"Ταξίδια: το check-in","Πώς λέμε τη διαδικασία εγγραφής στο ξενοδοχείο ή στο αεροδρόμιο;","το check-in","το check-out","η κράτηση","η αναχώρηση","Το check-in είναι όταν δηλώνεις την άφιξή σου. Στο ξενοδοχείο παίρνεις το κλειδί του δωματίου σου."
"Ταξίδια: ο χάρτης","Πώς λέμε το φύλλο με τη σχεδίαση των δρόμων μιας πόλης;","ο χάρτης","το εισιτήριο","ο οδηγός","η διαδρομή","Ο χάρτης (ή χαρτογράφηση) δείχνει τους δρόμους. Σε βοηθά να βρεις τον σωστό δρόμο."
"Κατεύθυνση: δεξιά","Βγαίνεις από τον σταθμό και στρίβεις προς το χέρι με το οποίο γράφεις. Προς τα πού πας;","δεξιά","αριστερά","ευθεία","πίσω","Δεξιά είναι το αντίθετο του αριστερά. Αν κάποιος πει «στρίψε δεξιά», στρίβεις προς το δεξί χέρι σου."
"Κατεύθυνση: αριστερά","Ποιο είναι το αντίθετο του «δεξιά»;","αριστερά","δεξιά","ευθεία","μπροστά","Αριστερά είναι το αντίθετο του δεξιά. Στρίβεις προς το αριστερό σου χέρι."
"Κατεύθυνση: ευθεία","Πώς πας αν δεν στρίβεις ούτε δεξιά ούτε αριστερά;","ευθεία","δεξιά","αριστερά","πίσω","Ευθεία σημαίνει να συνεχίζεις χωρίς να στρίψεις. Π.χ.: πήγαινε ευθεία για 200 μέτρα."
"Κατεύθυνση: η διασταύρωση","Πώς λέμε το σημείο όπου δύο δρόμοι τέμνονται;","η διασταύρωση","η στρογγυλή πλατεία","ο κόμβος","η στάση","Η διασταύρωση είναι το σημείο όπου δύο ή περισσότεροι δρόμοι τέμνονται. Εκεί μπορείς να στρίψεις δεξιά ή αριστερά."
"Κατεύθυνση: τα φανάρια","Πώς λέμε τα φώτα που ρυθμίζουν την κυκλοφορία;","τα φανάρια","η πινακίδα","ο κυκλικός κόμβος","η ζέβρα","Τα φανάρια έχουν τρία χρώματα: κόκκινο (σταμάτα), κίτρινο (προσοχή) και πράσινο (προχώρα)."
"Κατεύθυνση: ο κυκλικός κόμβος","Πώς λέμε τον κυκλικό δρόμο όπου τα αυτοκίνητα κινούνται σε κύκλο;","ο κυκλικός κόμβος","η διασταύρωση","τα φανάρια","η γέφυρα","Ο κυκλικός κόμβος (ροτόντα) είναι κυκλικός δρόμος. Τα αυτοκίνητα κινούνται γύρω γύρω και επιλέγουν την έξοδο."
"Κατεύθυνση: η γέφυρα","Πώς λέμε την κατασκευή που περνά πάνω από ποτάμι ή δρόμο;","η γέφυρα","η σήραγγα","η διασταύρωση","ο κυκλικός κόμβος","Η γέφυρα είναι κατασκευή πάνω από ποτάμι ή δρόμο. Π.χ.: η γέφυρα Ρίου-Αντιρρίου είναι πολύ γνωστή."
"Κατεύθυνση: η γωνία","«Η καφετέρια είναι στη ___ του δρόμου.» Ποια λέξη συμπληρώνει τη φράση;","γωνία","αφετηρία","στάση","πεζοδρόμιο","Η γωνία είναι το σημείο όπου δύο δρόμοι συναντιούνται και σχηματίζουν γωνία. Π.χ.: το μαγαζί είναι στη γωνία."
"Κατεύθυνση: απέναντι από","Πού βρίσκεται κάτι που είναι ακριβώς μπροστά σου, στην άλλη πλευρά του δρόμου;","απέναντι από","δίπλα σε","πίσω από","μακριά από","«Απέναντι από» σημαίνει στην άλλη πλευρά. Π.χ.: η τράπεζα είναι απέναντι από το ξενοδοχείο."
"Κατεύθυνση: δίπλα σε","Πώς λες ότι κάτι είναι πολύ κοντά, ακριβώς πλάι;","δίπλα σε","απέναντι από","πίσω από","μακριά από","«Δίπλα σε» σημαίνει πολύ κοντά, στο πλάι. Π.χ.: η τράπεζα είναι δίπλα στο σούπερ μάρκετ."
"Κατεύθυνση: κοντά σε","Πώς λες ότι ένα μέρος δεν είναι μακριά;","κοντά σε","μακριά από","πίσω από","απέναντι από","«Κοντά σε» είναι το αντίθετο του «μακριά από». Π.χ.: η στάση είναι κοντά στο σπίτι μου."
"Κατεύθυνση: μακριά από","Πώς λες ότι ένα μέρος είναι σε μεγάλη απόσταση;","μακριά από","κοντά σε","δίπλα σε","απέναντι από","«Μακριά από» είναι το αντίθετο του «κοντά σε». Π.χ.: το αεροδρόμιο είναι μακριά από το κέντρο."
"Κατεύθυνση: διασχίζω","Ποιο ρήμα χρησιμοποιείς όταν περνάς στην άλλη πλευρά του δρόμου;","διασχίζω","στρίβω","επιστρέφω","σταματώ","Διασχίζω σημαίνει περνώ στην άλλη πλευρά. Π.χ.: διάσχισε την πλατεία και στρίψε δεξιά."
"Κατεύθυνση: η πλατεία","Πώς λέμε τον μεγάλο ανοιχτό χώρο στο κέντρο μιας ελληνικής πόλης;","η πλατεία","ο δρόμος","η λεωφόρος","το σοκάκι","Η πλατεία είναι ανοιχτός χώρος στο κέντρο της πόλης. Η Πλατεία Συντάγματος είναι η κεντρική πλατεία της Αθήνας."
"Κατεύθυνση: το πεζοδρόμιο","Πώς λέμε το τμήμα του δρόμου όπου περπατούν οι πεζοί;","το πεζοδρόμιο","το οδόστρωμα","η ράγα","ο χώρος στάθμευσης","Το πεζοδρόμιο είναι η μεριά του δρόμου για τους πεζούς (αυτούς που περπατούν)."
"Κατεύθυνση: η πινακίδα","Πώς λέμε τη σήμανση στον δρόμο που δείχνει κατεύθυνση ή δίνει οδηγίες;","η πινακίδα","τα φανάρια","η γέφυρα","ο κυκλικός κόμβος","Η πινακίδα είναι σήμα κυκλοφορίας. Σε βοηθά να βρεις τη σωστή κατεύθυνση."
"Ταξίδια: απλό εισιτήριο","Πώς λέμε το εισιτήριο για να πας σε έναν προορισμό χωρίς επιστροφή;","απλό εισιτήριο","εισιτήριο με επιστροφή","μηνιαία κάρτα","ημερήσιο εισιτήριο","Το απλό εισιτήριο είναι μόνο για τη διαδρομή πρός τον προορισμό, χωρίς επιστροφή."
"Ταξίδια: εισιτήριο με επιστροφή","Πώς λέμε το εισιτήριο για να πας και να γυρίσεις;","εισιτήριο με επιστροφή","απλό εισιτήριο","μηνιαία κάρτα","ημερήσιο εισιτήριο","Το εισιτήριο με επιστροφή περιλαμβάνει και τη διαδρομή για να γυρίσεις στην αφετηρία σου."
"Ταξίδια: η σύνδεση","Πώς λέμε τη μεταφορά από ένα μέσο σε άλλο κατά τη διάρκεια ταξιδιού;","η σύνδεση","η αφετηρία","ο προορισμός","η στάση","Η σύνδεση είναι όταν αλλάζεις μέσο μεταφοράς. Π.χ.: κάνεις σύνδεση στη Φρανκφούρτη για να πας στη Νέα Υόρκη."
"Κατεύθυνση: η σήραγγα","Πώς λέμε το υπόγειο πέρασμα που διασχίζεις κάτω από βουνό ή δρόμο;","η σήραγγα","η γέφυρα","ο κυκλικός κόμβος","η διασταύρωση","Η σήραγγα είναι υπόγειο πέρασμα. Π.χ.: η σήραγγα Μαλιακός σε πάει κάτω από τα βουνά."
