"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Αφηρημένη έννοια: υπομονή","Τι σημαίνει «υπομονή»;","Η ικανότητα να περιμένεις ήρεμα χωρίς να εκνευρίζεσαι","Η επιθυμία να κάνεις τα πάντα γρήγορα","Η τάση να αποφεύγεις τη συνεργασία με άλλους","Ένα αίσθημα έντονης χαράς","Η «υπομονή» σημαίνει να αντέχεις δύσκολες καταστάσεις ή αναμονή χωρίς να χάνεις την ηρεμία σου."
"Αφηρημένη έννοια: φαντασία","Τι σημαίνει «φαντασία»;","Η ικανότητα να σκέφτεσαι πράγματα που δεν υπάρχουν ή να δημιουργείς νέες ιδέες","Η επιθυμία να ταξιδεύεις σε μακρινά μέρη","Η ικανότητα να μαθαίνεις γρήγορα νέες γλώσσες","Ένα αίσθημα ντροπής για κάτι που έκανες","Η «φαντασία» είναι η δύναμη του μυαλού να δημιουργεί εικόνες, ιδέες και σενάρια που δεν υπάρχουν στην πραγματικότητα."
"Αφηρημένη έννοια: αλήθεια","Ποια λέξη ταιριάζει; «Πρέπει να πούμε την ___ σε αυτή την κατάσταση.»","αλήθεια","αγανάκτηση","ανακούφιση","διαφωνία","Η «αλήθεια» είναι αυτό που συμφωνεί με την πραγματικότητα, σε αντίθεση με το ψέμα."
"Αφηρημένη έννοια: ελπίδα","Τι σημαίνει «ελπίδα»;","Η πεποίθηση ότι κάτι καλό θα συμβεί στο μέλλον","Η βεβαιότητα ότι έχεις κάνει κάτι σωστά","Η αδυναμία να λάβεις μια απόφαση","Ένα αίσθημα έντονης οργής","Η «ελπίδα» είναι η θετική προσδοκία για το μέλλον — η πεποίθηση ότι τα πράγματα θα γίνουν καλύτερα."
"Αφηρημένη έννοια: απελπισία","Τι σημαίνει «απελπισία»;","Η αίσθηση ότι δεν υπάρχει καμία ελπίδα ή λύση","Η ανυπομονησία για κάτι που θέλεις πολύ","Η επιθυμία να αλλάξεις τον τρόπο ζωής σου","Ένα αίσθημα υπερηφάνειας για κάτι που πέτυχες","Η «απελπισία» είναι η πλήρης έλλειψη ελπίδας — η αίσθηση ότι δεν υπάρχει διέξοδος από μια δύσκολη κατάσταση."
"Αφηρημένη έννοια: αξία","Ποια λέξη ταιριάζει; «Κάθε άνθρωπος έχει εγγενή ___.»","αξία","αδυναμία","απόλαυση","απόσταση","Η «αξία» εδώ σημαίνει την εγγενή αξιοπρέπεια που κάθε άνθρωπος έχει από τη γέννησή του, ανεξάρτητα από οτιδήποτε άλλο."
"Αφηρημένη έννοια: μοίρα","Τι σημαίνει «μοίρα»;","Η πεποίθηση ότι ορισμένα γεγονότα είναι προκαθορισμένα να συμβούν","Η επιθυμία να ελέγξεις τη ζωή σου πλήρως","Η ικανότητα να αλλάζεις τις συνθήκες γύρω σου","Ένα αίσθημα ευτυχίας που διαρκεί πολύ","Η «μοίρα» εκφράζει την πεποίθηση ότι κάποια γεγονότα στη ζωή μας είναι γραφτά να γίνουν — δεν εξαρτώνται από τις επιλογές μας."
"Αφηρημένη έννοια: ταυτότητα","Τι σημαίνει «ταυτότητα» σε ψυχολογικό πλαίσιο;","Το σύνολο χαρακτηριστικών που καθορίζουν ποιος είσαι ως άτομο","Ένα επίσημο έγγραφο ταυτοποίησης","Η ικανότητα να μιμείσαι άλλα πρόσωπα","Ένα αίσθημα έντονης ζήλιας","Η «ταυτότητα» στο ψυχολογικό πλαίσιο αφορά το ποιος είσαι: τις αξίες, τα χαρακτηριστικά και τις εμπειρίες που σε κάνουν μοναδικό."
"Αφηρημένη έννοια: αλτρουισμός","Τι σημαίνει «αλτρουισμός»;","Η μέριμνα για τους άλλους χωρίς να περιμένεις κάτι σε αντάλλαγμα","Η τάση να βλέπεις πάντα τη θετική πλευρά","Η επιθυμία να συγκεντρώσεις πλούτο και ιδιοκτησία","Η ικανότητα να εργάζεσαι αποδοτικά μόνος σου","Ο «αλτρουισμός» είναι η αδιάφορη φροντίδα για τους άλλους — το να βοηθάς χωρίς να ζητάς ανταμοιβή."
"Αφηρημένη έννοια: εγωισμός","Ποια λέξη ταιριάζει; «Ο ___ του δεν τον αφήνει να βοηθήσει τους άλλους.»","εγωισμός","ενθουσιασμός","σεβασμός","θαυμασμός","Ο «εγωισμός» είναι η υπερβολική στροφή στον εαυτό σου — όταν κάποιος σκέφτεται μόνο το δικό του συμφέρον."
"Αφηρημένη έννοια: κρίση","Τι σημαίνει «κρίση» στη φράση «η κρίση του δεν είναι καλή»;","Η ικανότητα να αξιολογείς καταστάσεις και να παίρνεις σωστές αποφάσεις","Η τάση να κατηγορείς τους άλλους","Η επιθυμία να αλλάζεις συνεχώς γνώμη","Ένα αίσθημα θλίψης για κάτι που χάθηκε","Η «κρίση» εδώ σημαίνει τη νοητική ικανότητα να αξιολογείς σωστά τις καταστάσεις και να παίρνεις τεκμηριωμένες αποφάσεις."
"Αφηρημένη έννοια: έμπνευση","Τι σημαίνει «έμπνευση»;","Μια αιφνίδια ιδέα ή η ώθηση να δημιουργήσεις κάτι","Η υποχρέωση να ακολουθήσεις τις οδηγίες","Η ικανότητα να αντιγράφεις έργα άλλων","Ένα αίσθημα ανίας και βαρεμάρας","Η «έμπνευση» είναι η αίσθηση ή η ιδέα που σε ωθεί να δημιουργήσεις κάτι νέο — συχνά έρχεται ξαφνικά."
"Αφηρημένη έννοια: επιρροή","Ποια λέξη ταιριάζει; «Η ___ των μέσων ενημέρωσης στη γνώμη μας είναι μεγάλη.»","επιρροή","ελάττωση","αδιαφορία","απόγνωση","Η «επιρροή» είναι η δύναμη που έχει κάτι ή κάποιος να αλλάζει τις σκέψεις, τις αποφάσεις ή τη συμπεριφορά μας."
"Αφηρημένη έννοια: ακεραιότητα","Τι σημαίνει «ακεραιότητα»;","Η τιμιότητα και η ηθική συμπεριφορά ακόμα και όταν κανείς δεν σε βλέπει","Η ανικανότητα να αλλάζεις γνώμη","Η επιθυμία να ελέγχεις τη ζωή άλλων","Ένα αίσθημα εχθρότητας προς τους γύρω σου","Η «ακεραιότητα» σημαίνει να τηρείς τις αρχές σου και να συμπεριφέρεσαι με τιμιότητα — ακόμα και όταν δεν σε παρακολουθεί κανείς."
"Ιδιωτισμός: σπάω τα νεύρα","Τι σημαίνει «με σπάει στα νεύρα»;","Με εκνευρίζει πολύ","Με τρομάζει","Με κάνει να αισθάνομαι λύπη","Με εκπλήσσει ευχάριστα","«Σπάω τα νεύρα κάποιου» σημαίνει τον εκνευρίζω πολύ ή τον ενοχλώ. Π.χ. «Αυτή η φασαρία μου σπάει τα νεύρα.»"
"Ιδιωτισμός: πέφτω έξω","Τι σημαίνει «έπεσα έξω»;","Έκανα λάθος στην εκτίμησή μου","Έπεσα κατά λάθος από ένα μέρος","Έφτασα νωρίτερα από ό,τι ανέμεναν","Κέρδισα κάτι απρόσμενα","«Πέφτω έξω» σημαίνει κάνω λάθος, κάτι δεν μου βγαίνει όπως το υπολόγισα."
"Ιδιωτισμός: τα παρατάω","Τι σημαίνει «τα παρατάω»;","Σταματώ να προσπαθώ, εγκαταλείπω","Ξεκινώ κάτι με μεγάλο ενθουσιασμό","Αρχίζω να συγκεντρώνω πράγματα","Τελειώνω κάτι με επιτυχία","«Τα παρατάω» σημαίνει εγκαταλείπω μια προσπάθεια ή μια δουλειά — αποφασίζω να μην συνεχίσω."
"Ιδιωτισμός: πιάνω κουβέντα","Τι σημαίνει «έπιασα κουβέντα μαζί της»;","Ξεκίνησα συζήτηση μαζί της","Τη στάματησα και τη μάλωσα","Της έδωσα ένα σημείωμα","Την άκουσα να μιλά από μακριά","«Πιάνω κουβέντα» σημαίνει αρχίζω να μιλώ με κάποιον, ξεκινώ μια συνομιλία."
"Ιδιωτισμός: τα βγάζω πέρα","Ποια φράση συμπληρώνει σωστά; «Με τον μισθό του, δύσκολα ___.»","τα βγάζει πέρα","τα χάνει όλα","τα μαθαίνει αμέσως","τα λέει παντού","«Τα βγάζω πέρα» σημαίνει καταφέρνω να αντεπεξέλθω, συνήθως οικονομικά ή σε δύσκολες συνθήκες."
"Ιδιωτισμός: στα χαλάω","Τι σημαίνει «μου τα χάλασε»;","Μου κατέστρεψε τα σχέδια ή τη διάθεση","Μου έδωσε πολλά χρήματα","Μου εξήγησε κάτι με λεπτομέρεια","Με βοήθησε να τελειώσω κάτι","«Τα χαλάω σε κάποιον» σημαίνει του καταστρέφω τα σχέδια, τη διάθεση ή την ευχαρίστηση."
"Ιδιωτισμός: κάνω τα στραβά μάτια","Τι σημαίνει «κάνω τα στραβά μάτια»;","Αγνοώ κάτι κακό σαν να μην το βλέπω","Κοιτάζω κάτι πολύ προσεκτικά","Ψάχνω να βρω κάτι κρυφό","Εξηγώ κάτι με απλό τρόπο","«Κάνω τα στραβά μάτια» σημαίνει κάνω ότι δεν βλέπω κάτι αρνητικό — το αγνοώ εσκεμμένα."
"Ιδιωτισμός: πιάνω τόπο","Τι σημαίνει «αυτή η συμβουλή δεν πιάνει τόπο»;","Δεν αποδίδει, δεν έχει αποτέλεσμα","Δεν είναι αρκετά μεγάλη για τη χρήση της","Δεν ταιριάζει με το υπόλοιπο δωμάτιο","Δεν είναι ακριβής από επιστημονική άποψη","«Πιάνω τόπο» σημαίνει αποδίδω, έχω αποτέλεσμα. «Δεν πιάνει τόπο» σημαίνει δεν βοηθά, δεν αλλάζει τίποτα."
"Ιδιωτισμός: βγάζω άκρη","Τι σημαίνει «δεν μπορώ να βγάλω άκρη»;","Δεν μπορώ να καταλάβω κάτι ή να φτάσω σε συμπέρασμα","Δεν μπορώ να φτάσω στο τέλος ενός δρόμου","Δεν μπορώ να τελειώσω τη δουλειά μου εγκαίρως","Δεν μπορώ να σηκωθώ από ένα μέρος","«Βγάζω άκρη» σημαίνει βρίσκω λύση ή κατανοώ κάτι. «Δεν βγάζω άκρη» σημαίνει δεν μπορώ να το λύσω ή να το εξηγήσω."
"Ιδιωτισμός: ρίχνω νερό στο κρασί","Τι σημαίνει «πρέπει να ρίξω νερό στο κρασί μου»;","Πρέπει να μαλακώσω τη στάση μου και να κάνω παραχωρήσεις","Πρέπει να πιω λιγότερο αλκοόλ","Πρέπει να μιλήσω πιο ήσυχα","Πρέπει να αρχίσω από την αρχή","«Ρίχνω νερό στο κρασί» σημαίνει μαλακώνω, υποχωρώ, κάνω παραχωρήσεις για να βρεθεί λύση."
"Ιδιωτισμός: τρώω τα νιάτα μου","Τι σημαίνει «έφαγε τα νιάτα του δουλεύοντας σκληρά»;","Πέρασε τα καλύτερα χρόνια της ζωής του σε αυτή τη δραστηριότητα","Έγινε πολύ αδύνατος λόγω της σκληρής εργασίας","Έχασε τα χρήματά του από λάθος επιλογές","Διασκέδαζε πολύ ενώ δούλευε","«Τρώω τα νιάτα μου» σημαίνει ξοδεύω τα καλύτερα, νεανικά χρόνια μου σε κάτι."
"Ιδιωτισμός: είμαι εκτός εαυτού","Τι σημαίνει «ήταν εκτός εαυτού από θυμό»;","Ήταν τόσο θυμωμένος που έχανε τον έλεγχό του","Ήταν πολύ χαρούμενος και δεν το έδειχνε","Δεν ήξερε ποιος ήταν","Ήταν μόνος και αισθανόταν άσχημα","«Εκτός εαυτού» σημαίνει σε ακραία συναισθηματική κατάσταση — συνήθως από θυμό ή αγανάκτηση, σε βαθμό που χάνεις τον αυτοέλεγχό σου."
"Ιδιωτισμός: σκάω από...","Ποια φράση σημαίνει «αισθάνομαι πολύ υπερήφανος»;","Σκάω από υπερηφάνεια","Λιώνω από κούραση","Πνίγομαι στη δουλειά","Χάνομαι στη σκέψη","«Σκάω από υπερηφάνεια» είναι ιδιωτισμός που δηλώνει ότι νιώθω έντονη υπερηφάνεια — σχεδόν «σκάω» από τόσο δυνατό συναίσθημα."
"Ιδιωτισμός: ανοίγω παράθυρο","Τι σημαίνει «αυτή η δουλειά μού ανοίγει παράθυρο»;","Μου δίνει νέες ευκαιρίες και προοπτικές","Μου αερίζει το δωμάτιο","Με κάνει να νιώθω κλειστοφοβία","Με αναγκάζει να δουλεύω σε εξωτερικό χώρο","«Ανοίγω παράθυρο σε κάποιον» σημαίνει του δίνω νέες ευκαιρίες ή μια διέξοδο — μεταφορικά ανοίγω έναν νέο δρόμο."
"Ιδιωτισμός: κόβω βόλτες","Τι σημαίνει «κόβω βόλτες στην αγορά»;","Περπατώ χωρίς συγκεκριμένο σκοπό σε μια περιοχή","Αγοράζω γρήγορα αυτό που χρειάζομαι","Οδηγώ με αυτοκίνητο στην πόλη","Παζαρεύω για χαμηλότερη τιμή","«Κόβω βόλτες» σημαίνει περπατώ χαλαρά ή γυρνώ σε μια περιοχή, συχνά χωρίς συγκεκριμένο σκοπό."
"Ιδιωτισμός: πλένω τα χέρια μου","Τι σημαίνει «έπλυνε τα χέρια του από αυτή την υπόθεση»;","Αρνήθηκε κάθε ευθύνη για αυτό","Τακτοποίησε τελικά την υπόθεση","Ζήτησε βοήθεια από τρίτους","Εξέτασε όλες τις λεπτομέρειες","«Πλένω τα χέρια μου» σημαίνει αρνούμαι κάθε ευθύνη — απεκδύομαι κάθε εμπλοκή στο θέμα."
"Ιδιωτισμός: μου κόβεται το αίμα","Τι σημαίνει «μου κόπηκε το αίμα από τον τρόμο»;","Φοβήθηκα πάρα πολύ","Αισθάνθηκα αδύναμος σωματικά","Στεναχωρήθηκα βαθιά","Νύσταξα ξαφνικά","«Μου κόβεται το αίμα» είναι έκφραση για έντονο φόβο ή τρόμο — το αίμα «παγώνει» στις φλέβες από τον φόβο."
"Ιδιωτισμός: το βάζω στα πόδια","Τι σημαίνει «το έβαλε στα πόδια»;","Έφυγε βιαστικά για να γλιτώσει","Άρχισε να περπατά αργά","Σταμάτησε να τρέχει και ξεκουράστηκε","Προχώρησε με αυτοπεποίθηση","«Το βάζω στα πόδια» σημαίνει τρέχω ή φεύγω γρήγορα, συνήθως για να ξεφύγω από κάτι ή κάποιον."
"Ιδιωτισμός: κάνω κουμάντο","Τι σημαίνει «κάνει κουμάντο στο σπίτι»;","Έχει τον έλεγχο και παίρνει τις αποφάσεις","Μαγειρεύει πάντα ο ίδιος","Πληρώνει όλα τα έξοδα","Φροντίζει για τη διακόσμηση","«Κάνω κουμάντο» σημαίνει έχω την εξουσία και τον έλεγχο — είμαι αυτός που αποφασίζει."
"Ιδιωτισμός: τρώω ξύλο","Τι σημαίνει «έφαγε ξύλο στο σχολείο»;","Τον χτύπησαν","Τιμωρήθηκε από τον δάσκαλο","Χτύπησε ο ίδιος κάποιον","Αρρώστησε ξαφνικά","«Τρώω ξύλο» σημαίνει με χτυπούν, γίνομαι δέκτης χτυπημάτων."
"Ιδιωτισμός: χάνω τον ύπνο μου","Τι σημαίνει «χάνω τον ύπνο μου για κάτι»;","Ανησυχώ πολύ για κάτι","Ξεχνώ να πάω για ύπνο","Δυσκολεύομαι να ξυπνήσω το πρωί","Κοιμάμαι πολύ λίγο λόγω φόρτου εργασίας","«Χάνω τον ύπνο μου» σημαίνει ανησυχώ τόσο πολύ για κάτι που δεν μπορώ να κοιμηθώ."
"Ιδιωτισμός: πάω κατά διαόλου","Τι σημαίνει «πήγε κατά διαόλου το σχέδιό μας»;","Απέτυχε εντελώς","Ολοκληρώθηκε πιο γρήγορα από το αναμενόμενο","Εγκρίθηκε από τους υπεύθυνους","Αναβλήθηκε για αόριστο χρόνο","«Πάω κατά διαόλου» σημαίνει αποτυγχάνω πλήρως — τα πάντα πάνε στραβά και χάνεται κάθε ελπίδα."
"Ιδιωτισμός: κάνω πλάτες","Τι σημαίνει «του κάνει πλάτες»;","Τον υποστηρίζει και τον προστατεύει","Τον αγνοεί και του γυρνά την πλάτη","Τον ακολουθεί παντού","Τον παρακολουθεί κρυφά","«Κάνω πλάτες σε κάποιον» σημαίνει τον στηρίζω, τον καλύπτω ή τον προστατεύω — στέκομαι πίσω του σαν ασπίδα."
"Ιδιωτισμός: με παίρνει ο ύπνος","Ποια φράση σημαίνει «άρχισα να κοιμάμαι ακούσια»;","Με πήρε ο ύπνος","Με έπιασε η νύχτα","Με σκέπασε η κούραση","Κούνησα το κεφάλι από κούραση","«Με παίρνει ο ύπνος» σημαίνει αρχίζω να κοιμάμαι — ο ύπνος έρχεται αθέλητα, συχνά σε ακατάλληλη στιγμή."
"Ιδιωτισμός: παίζω με τη φωτιά","Τι σημαίνει «παίζεις με τη φωτιά»;","Αναλαμβάνεις μεγάλο ρίσκο που μπορεί να σε βλάψει","Διασκεδάζεις με ανέμελο τρόπο","Κάνεις κάτι με μεγάλη επιδεξιότητα","Προσπαθείς να ζεσταθείς σε κρύο καιρό","«Παίζω με τη φωτιά» σημαίνει αναλαμβάνω κίνδυνο που μπορεί να με βλάψει σοβαρά — σαν να παίζεις με φωτιά που κάποια στιγμή θα σε κάψει."
