"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Γενική: ανήκει σε","'Το αυτοκίνητο ___ ανήκει στον Γιώργη.' Ποια είναι η σωστή μορφή;","της Άννας","την Άννα","η Άννα","Άννα","Η γενική μονού αριθμού θηλυκού: 'της Άννας'. Η αιτιατική 'την Άννα' και ονομαστική 'η Άννα' είναι λάθος πτώση για κτήση."
"Γενική: κτήση (αρσενικό)","'Το βιβλίο ___ είναι στο τραπέζι.' Ποια είναι η σωστή μορφή;","του Κώστα","τον Κώστα","ο Κώστας","Κώστα","Γενική ενικού αρσενικού: 'του Κώστα'. Η αιτιατική 'τον Κώστα' και ονομαστική 'ο Κώστας' είναι λανθασμένες πτώσεις για κτήση."
"Γενική: πληθυντικός θηλυκό","'Τα παιχνίδια ___ είναι παντού.' Ποια είναι η σωστή μορφή;","των παιδιών","τα παιδιά","τους παιδιά","παιδιών","Γενική πληθυντικού: 'των παιδιών'. Το άρθρο 'τα' είναι ονομαστική/αιτιατική — λάθος. Το 'τους παιδιά' δεν υπάρχει."
"Γενική: ενικός ουδέτερο","'Το χρώμα ___ είναι κόκκινο.' Ποια είναι η σωστή μορφή;","του σπιτιού","το σπίτι","το σπιτιού","σπιτιού","Γενική ενικού ουδετέρου: 'του σπιτιού'. Το 'το σπίτι' είναι ονομαστική/αιτιατική. Το 'το σπιτιού' δεν υπάρχει ως τύπος."
"Γενική: μετά από ουσιαστικό","'Η πόρτα ___ είναι ανοιχτή.' Ποια είναι η σωστή μορφή;","της κουζίνας","την κουζίνα","η κουζίνα","της κουζίναν","Γενική μονού αριθμού θηλυκού σε -ας: 'της κουζίνας'. Η αιτιατική 'την κουζίνα' είναι λάθος πτώση. Το 'της κουζίναν' δεν υπάρχει."
"Γενική: πληθυντικός αρσενικό","'Τα ονόματα ___ είναι στη λίστα.' Ποια είναι η σωστή μορφή;","των μαθητών","τους μαθητές","οι μαθητές","τους μαθητών","Γενική πληθυντικού αρσενικού: 'των μαθητών'. Το 'τους μαθητές' είναι αιτιατική — λάθος. Το 'τους μαθητών' δεν υπάρχει."
"Γενική: μετά από επίθετο","'Είναι φίλος ___ αδερφού μου.' Ποια είναι η σωστή μορφή;","του","τον","τα","τους","Για να εκφράσουμε κτήση χρησιμοποιούμε γενική: 'του αδερφού μου'. Το 'τον' είναι άρθρο αιτιατικής — λάθος. Το 'τους' είναι γενική/αιτιατική πληθυντικού — λάθος."
"Γενική: χωρίς άρθρο","'Η τσάντα ___ μαθήτριας έχει βιβλία.' Ποια είναι η σωστή μορφή;","της","τη","την","τα","Γενική ενικού θηλυκού: 'της μαθήτριας'. Η μορφή 'τη/την' είναι αιτιατική — λάθος πτώση εδώ. Το 'τα' είναι ουδέτερο πληθυντικό."
"Γενική: πότε","'Το μαγαζί ___ ανοίγει στις δέκα.' Ποια είναι η σωστή μορφή;","της γειτόνισσας","τη γειτόνισσα","η γειτόνισσα","τη γειτόνισσας","Γενική θηλυκού ενικού σε -ας/-ισσας: 'της γειτόνισσας'. Η αιτιατική 'τη γειτόνισσα' είναι λάθος πτώση. Ο τύπος 'τη γειτόνισσας' δεν υπάρχει."
"Γενική: πληθυντικός ουδέτερο","'Τα αποτελέσματα ___ ήταν καλά.' Ποια είναι η σωστή μορφή;","των εξετάσεων","τα εξετάσεις","τις εξετάσεις","τα εξετάσεων","Γενική πληθυντικού θηλυκού: 'των εξετάσεων'. Το 'τα εξετάσεις' είναι λάθος γένος και πτώση. Το 'τα εξετάσεων' δεν υπάρχει."
"Παθητική φωνή ενεστώτας: γράφω","'Η επιστολή ___ από τον γραμματέα.' Ποια είναι η σωστή μορφή;","γράφεται","γράφει","γράφτηκε","γράφονται","Παθητική φωνή ενεστώτα ενικού: 'γράφεται'. Η ενεργητική 'γράφει' δεν εκφράζει παθητικό. Το 'γράφτηκε' είναι αόριστος — λάθος χρόνος. Το 'γράφονται' είναι πληθυντικό — λάθος αριθμός."
"Παθητική φωνή ενεστώτας: διδάσκω","'Τα ελληνικά ___ σε πολλά σχολεία.' Ποια είναι η σωστή μορφή;","διδάσκονται","διδάσκουν","διδάχτηκαν","διδάσκεται","Παθητική πληθυντικού ενεστώτα: 'διδάσκονται'. Η ενεργητική 'διδάσκουν' δεν είναι παθητική. Το 'διδάχτηκαν' είναι αόριστος — λάθος χρόνος. Το 'διδάσκεται' είναι ενικό — λάθος."
"Παθητική φωνή ενεστώτας: φτιάχνω","'Αυτό το κέικ ___ με σοκολάτα.' Ποια είναι η σωστή μορφή;","φτιάχνεται","φτιάχνει","φτιάχτηκε","φτιάχνουμε","Παθητική ενεστώτα ενικού: 'φτιάχνεται'. Η ενεργητική 'φτιάχνει' και 'φτιάχνουμε' δεν εκφράζουν παθητικό. Το 'φτιάχτηκε' είναι αόριστος."
"Παθητική φωνή ενεστώτας: πλένω","'Τα πιάτα ___ κάθε βράδυ.' Ποια είναι η σωστή μορφή;","πλένονται","πλένουν","πλύθηκαν","πλένεται","Παθητική πληθυντικού ενεστώτα: 'πλένονται'. Η ενεργητική 'πλένουν' δεν εκφράζει παθητικό. Το 'πλύθηκαν' είναι αόριστος. Το 'πλένεται' είναι ενικό — λάθος."
"Παθητική φωνή αόριστος: γράφω","'Το γράμμα ___ χθες.' Ποια είναι η σωστή μορφή;","γράφτηκε","γράφεται","γράφτηκαν","γραφόταν","Παθητικός αόριστος ενικού: 'γράφτηκε'. Η μορφή 'γράφεται' είναι ενεστώτας — λάθος χρόνος. Το 'γράφτηκαν' είναι πληθυντικό — λάθος. Το 'γραφόταν' είναι παρατατικός."
"Παθητική φωνή αόριστος: καθαρίζω","'Το δωμάτιο ___ το πρωί.' Ποια είναι η σωστή μορφή;","καθαρίστηκε","καθαρίζεται","καθαρίστηκαν","καθαριζόταν","Παθητικός αόριστος ενικού: 'καθαρίστηκε'. Ο ενεστώτας 'καθαρίζεται' είναι λάθος χρόνος. Το 'καθαρίστηκαν' είναι πληθυντικό. Ο παρατατικός 'καθαριζόταν' δεν εκφράζει ολοκληρωμένη πράξη."
"Παθητική φωνή αόριστος: κλείνω","'Οι πόρτες ___ μόλις φύγαμε.' Ποια είναι η σωστή μορφή;","κλείστηκαν","κλείνονται","έκλεισε","κλειστεί","Παθητικός αόριστος πληθυντικού: 'κλείστηκαν'. Ο ενεστώτας 'κλείνονται' είναι λάθος χρόνος. Το 'έκλεισε' είναι ενεργητική φωνή ενικού. Το 'κλειστεί' δεν υπάρχει."
"Παθητική φωνή αόριστος: χτίζω","'Αυτή η γέφυρα ___ το 1960.' Ποια είναι η σωστή μορφή;","χτίστηκε","χτίζεται","χτίστηκαν","χτιζόταν","Παθητικός αόριστος ενικού: 'χτίστηκε'. Ο ενεστώτας 'χτίζεται' είναι λάθος χρόνος. Το 'χτίστηκαν' είναι πληθυντικό. Ο παρατατικός 'χτιζόταν' δεν εκφράζει ολοκληρωμένη πράξη."
"Παθητική φωνή: παρατατικός","'Το φαγητό ___ αργά κάθε μέρα.' Ποια είναι η σωστή μορφή;","μαγειρευόταν","μαγειρεύτηκε","μαγειρεύεται","μαγειρεύονταν","Παθητικός παρατατικός ενικού: 'μαγειρευόταν' (επαναλαμβανόμενη πράξη στο παρελθόν). Ο αόριστος 'μαγειρεύτηκε' εκφράζει μία φορά. Ο ενεστώτας 'μαγειρεύεται' είναι λάθος χρόνος. Το 'μαγειρεύονταν' είναι πληθυντικό."
"Αναφορική πρόταση: που","'Ο άνδρας ___ μένει εκεί είναι δάσκαλος.' Ποια είναι η σωστή λέξη;","που","ο οποία","τον οποίο","οποίος","Το 'που' είναι η αναφορική αντωνυμία που αναφέρεται σε υποκείμενο: 'ο άνδρας που μένει εκεί'. Το 'ο οποία' δεν υπάρχει — λάθος γένος. Το 'τον οποίο' είναι αιτιατική — λάθος πτώση για υποκείμενο."
"Αναφορική πρόταση: ο οποίος (υποκείμενο)","'Μίλησα με τον Νίκο, ___ δουλεύει στο νοσοκομείο.' Ποια είναι η σωστή μορφή;","ο οποίος","η οποία","τον οποίο","το οποίο","Το 'ο οποίος' αναφέρεται σε αρσενικό υποκείμενο ενικού: 'ο Νίκος'. Η 'η οποία' είναι θηλυκό — λάθος. Το 'τον οποίο' είναι αιτιατική — λάθος πτώση για υποκείμενο."
"Αναφορική πρόταση: η οποία","'Η Ελένη, ___ είναι γιατρός, ζει στην Αθήνα.' Ποια είναι η σωστή μορφή;","η οποία","ο οποίος","την οποία","το οποίο","Το 'η οποία' αναφέρεται σε θηλυκό υποκείμενο: 'η Ελένη'. Ο 'ο οποίος' είναι αρσενικό — λάθος γένος. Η 'την οποία' είναι αιτιατική — λάθος πτώση."
"Αναφορική πρόταση: το οποίο","'Το βιβλίο, ___ αγόρασα χθες, είναι ενδιαφέρον.' Ποια είναι η σωστή μορφή;","το οποίο","ο οποίος","η οποία","του οποίου","Το 'το οποίο' αναφέρεται σε ουδέτερο αντικείμενο: 'το βιβλίο'. Εδώ είναι αιτιατική ('το οποίο αγόρασα'). Ο 'ο οποίος' είναι αρσενικό — λάθος. Το 'του οποίου' είναι γενική — λάθος πτώση."
"Αναφορική πρόταση: που (αντικείμενο)","'Η ταινία ___ είδα ήταν υπέροχη.' Ποια είναι η σωστή λέξη;","που","ο οποίος","η οποία","την οποία","Το 'που' χρησιμοποιείται και ως αντικείμενο της αναφορικής: 'η ταινία που είδα'. Είναι αμετάβλητο — δεν κλίνεται. Ο 'ο οποίος' είναι αρσενικό υποκείμενο — λάθος. Η 'η οποία' είναι ονομαστική — λάθος."
"Αναφορική πρόταση: ο οποίος (διευκρίνιση)","'Συνάντησα τον αδερφό της Σοφίας, ___ σπουδάζει νομικά.' Ποια είναι η σωστή μορφή;","ο οποίος","η οποία","που την","το οποίο","Εδώ χρησιμοποιούμε 'ο οποίος' για να ξεκαθαρίσουμε ότι αναφερόμαστε στον αδερφό (αρσενικό), όχι στη Σοφία. Η 'η οποία' θα ήταν ασαφής. Το 'που την' δεν υπάρχει ως σύνδεσμος."
"Αναφορική πρόταση: που (τόπος)","'Η πόλη ___ μεγάλωσα είναι μικρή.' Ποια είναι η σωστή λέξη;","που","ο οποίος","όπου ότι","τον οποίο","Μετά από τόπο χρησιμοποιούμε 'που' (ή 'όπου'): 'η πόλη που μεγάλωσα'. Ο 'ο οποίος' είναι αρσενικό — λάθος γένος. Το 'τον οποίο' είναι αιτιατική — λάθος πτώση."
"Αναφορική πρόταση: των οποίων","'Οι μαθητές, ___ οι βαθμοί ήταν υψηλοί, πήραν βραβείο.' Ποια είναι η σωστή μορφή;","των οποίων","τους οποίους","που τους","οι οποίοι","Για κτήση σε αναφορική πρόταση χρησιμοποιούμε γενική: 'των οποίων'. Το 'τους οποίους' είναι αιτιατική — λάθος. Το 'που τους' δεν χρησιμοποιείται για κτήση έτσι."
"Αναφορική πρόταση: στον οποίο","'Ο άντρας, ___ μίλησε η Μαρία, φύγε αμέσως.' Ποια είναι η σωστή μορφή;","στον οποίο","ο οποίος","τον οποίο","του οποίου","Το ρήμα 'μιλώ' παίρνει αντικείμενο με 'σε': 'μίλησε σε κάποιον'. Άρα: 'στον οποίο'. Ο 'ο οποίος' είναι ονομαστική — λάθος πτώση. Το 'του οποίου' είναι γενική — λάθος."
"Αναφορική πρόταση: που (χρόνος)","'Θυμάμαι την ημέρα ___ γνωρίσαμε.' Ποια είναι η σωστή λέξη;","που","ότε","ο οποίος","της οποίας","Μετά από χρονική λέξη ('ημέρα') χρησιμοποιούμε 'που': 'την ημέρα που γνωρίσαμε'. Το 'ότε' είναι αρχαία λέξη, δεν χρησιμοποιείται στη νέα ελληνική έτσι. Ο 'ο οποίος' είναι αρσενικό — λάθος."
"Σύνδεσμος: αν (υπόθεση)","'___ έχεις χρόνο, ελάτε να πιούμε καφέ.' Ποιος είναι ο σωστός σύνδεσμος;","Αν","Αν θα έχεις","Ενώ","Αφού","Το 'αν' εισάγει υποθετική πρόταση: 'αν έχεις'. Μετά το 'αν' δεν μπαίνει 'θα' — το 'αν θα έχεις' είναι αγραμματικό. Το 'ενώ' εκφράζει αντίθεση ή ταυτοχρονισμό — λάθος εδώ."
"Σύνδεσμος: όταν (χρόνος)","'___ φτάσεις στο σταθμό, τηλεφώνησέ μου.' Ποιος είναι ο σωστός σύνδεσμος;","Όταν","Ότι","Ενώ","Αφού","Το 'όταν' εισάγει χρονική πρόταση: 'όταν φτάσεις'. Το 'ότι' εισάγει ειδικές προτάσεις (αναφορά, γνώμη) — δεν χρησιμοποιείται για χρόνο ή υπόθεση. Το 'ενώ' εκφράζει ταυτόχρονη πράξη — λάθος εδώ."
"Σύνδεσμος: ενώ (αντίθεση)","'Ο Νίκος μιλάει πολύ, ___ η αδερφή του είναι ήσυχη.' Ποιος είναι ο σωστός σύνδεσμος;","ενώ","αν","όταν","αφού","Το 'ενώ' εκφράζει αντίθεση μεταξύ δύο προτάσεων. Το 'αν' είναι υποθετικό — λάθος. Το 'αφού' εκφράζει αιτία ή χρόνο — λάθος. Το 'όταν' είναι χρονικό — λάθος."
"Σύνδεσμος: αφού (αιτία)","'___ ξέρεις ελληνικά, μπορείς να μας βοηθήσεις.' Ποιος είναι ο σωστός σύνδεσμος;","Αφού","Ενώ","Ότι","Όταν","Το 'αφού' εκφράζει αιτία (= εφόσον): 'αφού ξέρεις ελληνικά' = 'since you know Greek'. Το 'ενώ' εκφράζει αντίθεση ή ταυτοχρονισμό — λάθος εδώ. Το 'ότι' εισάγει ειδικές προτάσεις — δεν χρησιμοποιείται ως αιτιολογικός σύνδεσμος έτσι."
"Σύνδεσμος: αφού (χρόνος)","'___ φάγαμε, βγήκαμε για βόλτα.' Ποιος είναι ο σωστός σύνδεσμος;","Αφού","Ενώ","Αν","Όταν","Το 'αφού' εδώ εκφράζει χρόνο (= μετά που): 'αφού φάγαμε' = 'after we ate'. Το 'ενώ' θα σήμαινε ότι έγιναν ταυτόχρονα — λάθος. Το 'αν' είναι υποθετικό — λάθος."
"Σύνδεσμος: όταν (παρελθόν)","'___ ήμουν μικρός, έπαιζα πολύ.' Ποιος είναι ο σωστός σύνδεσμος;","Όταν","Αφού","Ότι","Ενώ","Το 'όταν' εισάγει χρονικές προτάσεις και στο παρελθόν: 'όταν ήμουν μικρός' = 'when I was little'. Το 'αφού' εκφράζει αιτία ή χρονική διαδοχή — λάθος για επαναλαμβανόμενη κατάσταση. Το 'ότι' εισάγει ειδικές προτάσεις — δεν χρησιμοποιείται χρονικά."
"Σύνδεσμος: ενώ (ταυτοχρονισμός)","'___ μαγείρευε, άκουγε μουσική.' Ποιος είναι ο σωστός σύνδεσμος;","Ενώ","Αφού","Αν","Μόλις","Το 'ενώ' εκφράζει ταυτόχρονες πράξεις: 'ενώ μαγείρευε' = 'while cooking'. Το 'αφού' είναι χρονικό διαδοχής ή αιτιολογικό — λάθος. Το 'αν' είναι υποθετικό — λάθος. Το 'μόλις' εκφράζει αμέσως μετά — λάθος."
"Σύνδεσμος: αν + παρούσα υποτακτική","'___ έχεις πείνα, φάε κάτι.' Ποια είναι η σωστή πρόταση;","Αν έχεις πείνα","Αν θα έχεις πείνα","Αν είχες πείνα","Ενώ έχεις πείνα","Στη συνηθισμένη υπόθεση (πραγματική), το 'αν' παίρνει οριστική: 'αν έχεις'. Το 'αν θα έχεις' είναι λάθος — μετά το 'αν' δεν μπαίνει 'θα'. Το 'ενώ' είναι αντιθετικό — λάθος."
"Σύνδεσμος: αν + μέλλον","'___ βρέξει, θα μείνουμε σπίτι.' Ποια είναι η σωστή πρόταση;","Αν βρέξει","Αν θα βρέξει","Όταν θα βρέξει","Ενώ βρέξει","Στην πραγματική υπόθεση με μελλοντικό αποτέλεσμα: 'αν' + οριστική/υποτακτική. Το 'αν θα βρέξει' είναι λάθος — το 'θα' δεν μπαίνει μετά το 'αν'. Το 'όταν θα βρέξει' είναι επίσης λάθος για τον ίδιο λόγο."
"Σύνδεσμος: αφού vs αν","'___ δεν ήρθε, κάτι τον κρατούσε.' Ποιος είναι ο σωστός σύνδεσμος;","Αφού","Ότι","Ενώ","Όταν","Εδώ το 'αφού' εκφράζει λογικό συμπέρασμα (= εφόσον): 'αφού δεν ήρθε' = 'since he didn't come'. Το 'ότι' εισάγει ειδικές προτάσεις — δεν χρησιμοποιείται για αιτιολογικό/συμπερασματικό συμπέρασμα. Το 'ενώ' εκφράζει αντίθεση — λάθος."
"Παθητική φωνή αόριστος: ανοίγω","'Τα παράθυρα ___ νωρίς το πρωί.' Ποια είναι η σωστή μορφή;","ανοίχτηκαν","ανοίγονται","άνοιξαν","ανοιγόταν","Παθητικός αόριστος πληθυντικού: 'ανοίχτηκαν'. Ο ενεστώτας 'ανοίγονται' είναι λάθος χρόνος. Το 'άνοιξαν' είναι ενεργητική φωνή — λάθος. Ο παρατατικός 'ανοιγόταν' δεν εκφράζει ολοκληρωμένη πράξη και είναι ενικό."
