"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Συναίσθημα: νιώθω","'___ πολύ κουρασμένος/-η τελευταία.' Ποιο ρήμα σημαίνει 'αισθάνομαι';","Νιώθω","Κοιτάζω","Ακούω","Μιλώ","Το 'νιώθω' σημαίνει 'αισθάνομαι'. 'Κοιτάζω' σημαίνει βλέπω, 'ακούω' αναφέρεται σε ακοή, 'μιλώ' σε ομιλία."
"Συναίσθημα: θυμωμένος","'Ήταν ___ με εμένα γιατί άργησα.' Ποιο επίθετο σημαίνει ότι κάποιος νιώθει θυμό;","θυμωμένος","χαρούμενος","ήρεμος","περίεργος","Το 'θυμωμένος' περιγράφει κάποιον που νιώθει θυμό. 'Χαρούμενος' εκφράζει χαρά, 'ήρεμος' εκφράζει γαλήνη, 'περίεργος' εκφράζει απορία."
"Συναίσθημα: ανακούφιση","'Ένιωσα μεγάλη ___ όταν έμαθα ότι ήταν καλά.' Ποια λέξη εκφράζει ελάφρυνση μετά από ανησυχία;","ανακούφιση","απογοήτευση","ανησυχία","αγανάκτηση","Η 'ανακούφιση' εκφράζει το αίσθημα ότι μια ανησυχία έληξε. 'Απογοήτευση' εκφράζει χάσιμο ελπίδας, 'ανησυχία' είναι αντίθετο της ανακούφισης, 'αγανάκτηση' εκφράζει έντονη δυσαρέσκεια."
"Συναίσθημα: απογοήτευση","'Ένιωσα βαθιά ___ όταν δεν πέρασα στη σχολή που ήθελα.' Ποια λέξη περιγράφει το συναίσθημα όταν δεν εκπληρωθούν οι προσδοκίες;","απογοήτευση","ενθουσιασμό","ικανοποίηση","ευγνωμοσύνη","Η 'απογοήτευση' είναι το συναίσθημα όταν κάτι δεν πάει όπως περιμέναμε. 'Ενθουσιασμός' και 'ικανοποίηση' είναι θετικά, 'ευγνωμοσύνη' εκφράζει ευχαριστία."
"Συναίσθημα: περήφανος","'Είμαι πολύ ___ για τα επιτεύγματά σου.' Ποιο επίθετο εκφράζει υπερηφάνεια;","περήφανος","ζηλόφθονος","ντροπιασμένος","αδιάφορος","Ο 'περήφανος' νιώθει υπερηφάνεια για κάτι. 'Ζηλόφθονος' νιώθει ζήλια, 'ντροπιασμένος' νιώθει ντροπή, 'αδιάφορος' δεν νιώθει τίποτα."
"Συναίσθημα: ντροπή","'Ένιωσα μεγάλη ___ όταν έκανα αυτό το λάθος μπροστά σε όλους.' Ποια λέξη εκφράζει αίσθηση εντροπής;","ντροπή","αλαζονεία","περηφάνια","ευχαρίστηση","Η 'ντροπή' είναι το άβολο συναίσθημα από κάτι που σε φέρνει σε αμηχανία μπροστά σε άλλους. 'Αλαζονεία' είναι εγωισμός, 'περηφάνια' είναι θετικό, 'ευχαρίστηση' είναι επίσης θετικό."
"Συναίσθημα: ζήλια","'Νιώθω ___ όταν βλέπω πόσο επιτυχημένος είναι.' Ποια λέξη εκφράζει το συναίσθημα του να θέλεις αυτό που έχει άλλος;","ζήλια","εκτίμηση","θαυμασμό","συμπάθεια","Η 'ζήλια' εκφράζει την επιθυμία να έχεις αυτό που έχει κάποιος άλλος. 'Εκτίμηση' και 'θαυμασμός' είναι θετικά συναισθήματα, 'συμπάθεια' σημαίνει ότι νιώθεις καλά για κάποιον."
"Συναίσθημα: φοβάμαι","'___ ότι θα αποτύχω στις εξετάσεις.' Ποιο ρήμα εκφράζει φόβο ή ανησυχία;","Φοβάμαι","Χαίρομαι","Ελπίζω","Αγαπώ","Το 'φοβάμαι' εκφράζει φόβο. 'Χαίρομαι' εκφράζει χαρά, 'ελπίζω' εκφράζει προσδοκία, 'αγαπώ' εκφράζει αγάπη."
"Συναίσθημα: άγχος","'Νιώθω πολύ ___ πριν από κάθε εξέταση.' Ποια λέξη εκφράζει έντονη ανησυχία;","άγχος","χαλάρωση","ανυπομονησία","ψυχραιμία","Το 'άγχος' εκφράζει έντονη ανησυχία. 'Χαλάρωση' και 'ψυχραιμία' είναι αντίθετα, 'ανυπομονησία' εκφράζει αδημονία αλλά όχι κατ' ανάγκη φόβο."
"Συναίσθημα: ανησυχώ","'___ πολύ για την υγεία της μητέρας μου.' Ποιο ρήμα σημαίνει ότι νιώθω φόβο ή αγωνία για κάτι;","Ανησυχώ","Περιμένω","Χαίρομαι","Εκπλήσσομαι","Το 'ανησυχώ' σημαίνει ότι νιώθω φόβο ή αγωνία. 'Περιμένω' εκφράζει αναμονή, 'χαίρομαι' εκφράζει χαρά, 'εκπλήσσομαι' εκφράζει έκπληξη."
"Συναίσθημα: ενθουσιασμός","'Νιώθω μεγάλο ___ για το νέο μου project.' Ποια λέξη εκφράζει έντονη θετική διέγερση;","ενθουσιασμό","απογοήτευση","ανία","αγανάκτηση","Ο 'ενθουσιασμός' εκφράζει έντονη θετική διέγερση. 'Απογοήτευση' και 'αγανάκτηση' είναι αρνητικά, 'ανία' σημαίνει βαρεμάρα."
"Συναίσθημα: συγκινούμαι","'___ πάντα όταν ακούω αυτό το τραγούδι.' Ποιο ρήμα σημαίνει ότι κάτι με αγγίζει συναισθηματικά;","Συγκινούμαι","Κουράζομαι","Ξεκουράζομαι","Ετοιμάζομαι","Το 'συγκινούμαι' σημαίνει ότι νιώθω βαθιά συναισθηματική αντίδραση. 'Κουράζομαι' σημαίνει ότι αισθάνομαι κούραση, 'ξεκουράζομαι' αποκατάσταση, 'ετοιμάζομαι' προετοιμασία."
"Συναίσθημα: μετάνοια","'Νιώθω ___ για ό,τι είπα χθες.' Ποια λέξη εκφράζει τύψεις για κάτι που έκανες;","μετάνοια","ανακούφιση","ικανοποίηση","ευτυχία","Η 'μετάνοια' εκφράζει τύψεις για κάτι που έκανες. 'Ανακούφιση' είναι ελάφρυνση, 'ικανοποίηση' και 'ευτυχία' είναι θετικά συναισθήματα."
"Συναίσθημα: εκπλήσσομαι","'___ με αυτό που μου είπες — δεν το περίμενα καθόλου.' Ποιο ρήμα εκφράζει έκπληξη;","Εκπλήσσομαι","Περηφανεύομαι","Θυμώνω","Ανακουφίζομαι","Το 'εκπλήσσομαι' εκφράζει έκπληξη από κάτι απρόσμενο. 'Περηφανεύομαι' εκφράζει υπερηφάνεια, 'θυμώνω' εκφράζει θυμό, 'ανακουφίζομαι' εκφράζει ελάφρυνση."
"Συναίσθημα: τύψεις","'Έχω ___ που δεν τον βοήθησα όταν με χρειαζόταν.' Ποια λέξη σημαίνει ότι νιώθω ενοχές;","τύψεις","εκτίμηση","θαυμασμό","χαρά","Οι 'τύψεις' εκφράζουν ενοχές για κάτι που έκανες ή δεν έκανες. 'Εκτίμηση' και 'θαυμασμός' είναι θετικά, 'χαρά' είναι επίσης θετική."
"Σχέση: εμπιστοσύνη","'Η ___ είναι η βάση κάθε υγιούς σχέσης.' Ποια λέξη σημαίνει ότι πιστεύεις στην ειλικρίνεια κάποιου;","εμπιστοσύνη","ανταγωνισμός","αδιαφορία","υποκρισία","Η 'εμπιστοσύνη' σημαίνει ότι πιστεύεις στην ειλικρίνεια κάποιου. 'Ανταγωνισμός' εκφράζει αντιπαλότητα, 'αδιαφορία' έλλειψη ενδιαφέροντος, 'υποκρισία' εκφράζει ανειλικρίνεια."
"Σχέση: δεσμός","'Υπάρχει ένας ισχυρός ___ μεταξύ μας από τότε που ήμαστε παιδιά.' Ποια λέξη σημαίνει βαθιά σύνδεση;","δεσμός","σύγκρουση","αδιαφορία","ανταγωνισμός","Ο 'δεσμός' εκφράζει βαθιά συναισθηματική σύνδεση. 'Σύγκρουση' εκφράζει αντιπαλότητα, 'αδιαφορία' έλλειψη ενδιαφέροντος, 'ανταγωνισμός' αντιπαλότητα."
"Σχέση: τσακώνομαι","'___ συχνά με τον αδερφό μου για ασήμαντα πράγματα.' Ποιο ρήμα σημαίνει έχω έντονη διαφωνία;","Τσακώνομαι","Γελώ","Συνεργάζομαι","Συμφωνώ","Το 'τσακώνομαι' σημαίνει έχω έντονη λεκτική διαφωνία ή καβγά. 'Γελώ' εκφράζει χαρά, 'συνεργάζομαι' εκφράζει ομαδική δράση, 'συμφωνώ' εκφράζει συγκατάθεση."
"Σχέση: συμφιλίωση","'Μετά τον καβγά, κάναμε ___.' Ποια λέξη σημαίνει ότι επιστρέψαμε σε καλές σχέσεις;","συμφιλίωση","διάσταση","ρήξη","αντιπαλότητα","Η 'συμφιλίωση' σημαίνει ότι δύο άτομα ξαναβρίσκουν τη συνεννόηση μετά από σύγκρουση. 'Διάσταση' και 'ρήξη' εκφράζουν διαχωρισμό, 'αντιπαλότητα' εκφράζει αντιπαλότητα."
"Σχέση: στηρίζω","'Πάντα ___ τους φίλους μου στις δύσκολες στιγμές.' Ποιο ρήμα σημαίνει ότι δίνω συναισθηματική βοήθεια;","στηρίζω","αγνοώ","ανταγωνίζομαι","αποφεύγω","Το 'στηρίζω' σημαίνει δίνω υποστήριξη. 'Αγνοώ' σημαίνει δεν δίνω σημασία, 'ανταγωνίζομαι' σημαίνει αντιπαλεύω, 'αποφεύγω' σημαίνει κρατώ απόσταση."
"Σχέση: προδοσία","'Η ___ ενός φίλου είναι από τα πιο επώδυνα πράγματα.' Ποια λέξη εκφράζει παραβίαση εμπιστοσύνης;","προδοσία","αφοσίωση","πίστη","ειλικρίνεια","Η 'προδοσία' εκφράζει παραβίαση εμπιστοσύνης. 'Αφοσίωση' και 'πίστη' εκφράζουν θετικές αξίες, 'ειλικρίνεια' εκφράζει τιμιότητα."
"Σχέση: αφοσίωση","'Εκτιμώ πολύ την ___ του στη σχέση μας.' Ποια λέξη εκφράζει βαθιά αφοσίωση και πίστη;","αφοσίωση","απόσταση","αδιαφορία","προδοσία","Η 'αφοσίωση' εκφράζει βαθιά δέσμευση και πίστη. 'Απόσταση' και 'αδιαφορία' εκφράζουν έλλειψη σύνδεσης, 'προδοσία' εκφράζει παραβίαση εμπιστοσύνης."
"Σχέση: γνωστός","Πώς ονομάζεται ένα άτομο που γνωρίζεις αλλά δεν είναι στενός σου φίλος;","Γνωστός","Σύντροφος","Συνεργάτης","Συγγενής","Ο 'γνωστός' είναι κάποιος που γνωρίζεις επιφανειακά. 'Σύντροφος' εκφράζει ρομαντική σχέση, 'συνεργάτης' επαγγελματική σχέση, 'συγγενής' οικογενειακή."
"Σχέση: αισθάνομαι κοντά σε","'___ πολύ κοντά στους φίλους μου από το πανεπιστήμιο.' Ποιο ρήμα εκφράζει συναισθηματική εγγύτητα;","Αισθάνομαι","Τρέχω","Κοιμάμαι","Μαγειρεύω","Το 'αισθάνομαι κοντά σε' εκφράζει συναισθηματική εγγύτητα. Τα άλλα ρήματα δεν εκφράζουν συναισθηματική σχέση με κάποιον."
"Σχέση: ανεξαρτησία","'Στη σχέση μας, σεβόμαστε την ___ του άλλου.' Ποια λέξη σημαίνει ότι ο καθένας κρατά τον εαυτό του;","ανεξαρτησία","εξάρτηση","ιδιοτέλεια","ανωτερότητα","Η 'ανεξαρτησία' σημαίνει ότι ο καθένας διατηρεί την ελευθερία του. 'Εξάρτηση' είναι το αντίθετο, 'ιδιοτέλεια' εκφράζει εγωισμό, 'ανωτερότητα' εκφράζει αρχή."
"Σχέση: αμοιβαίος","'Η αγάπη τους είναι ___.' Ποιο επίθετο σημαίνει ότι και τα δύο μέρη νιώθουν το ίδιο;","αμοιβαία","μονόπλευρη","τυχαία","εξωτερική","Το 'αμοιβαίος' σημαίνει ότι κάτι υπάρχει και από τις δύο πλευρές. 'Μονόπλευρη' σημαίνει μόνο από τη μια πλευρά, 'τυχαία' σημαίνει τυχαία, 'εξωτερική' αναφέρεται σε εξωτερικό χαρακτήρα."
"Σχέση: κοινά ενδιαφέροντα","'Τα ___ ενδιαφέροντα μας έφεραν κοντά.' Ποιο επίθετο σημαίνει 'που μοιράζονται και οι δύο';","κοινά","διαφορετικά","αντίθετα","αυτόνομα","Το 'κοινά' σημαίνει ότι κάτι ανήκει και στους δύο ή μοιράζεται. 'Διαφορετικά' και 'αντίθετα' σημαίνουν ανομοιότητα, 'αυτόνομα' σημαίνει ανεξάρτητα."
"Σχέση: χωρισμός","'Μετά τον ___, και οι δύο ήταν στεναχωρημένοι.' Ποια λέξη εκφράζει τη λήξη μιας σχέσης;","χωρισμό","γάμο","αρραβώνα","συνάντηση","Ο 'χωρισμός' σημαίνει η λήξη μιας ερωτικής σχέσης. 'Γάμος' και 'αρραβώνας' εκφράζουν δέσμευση, 'συνάντηση' εκφράζει επαφή."
"Σχέση: βασίζομαι σε","'___ πάντα στους φίλους μου όταν έχω πρόβλημα.' Ποιο ρήμα σημαίνει ότι εμπιστεύομαι και στηρίζομαι σε κάποιον;","Βασίζομαι","Κρύβομαι","Μιλώ","Κοιτάζω","Το 'βασίζομαι σε' σημαίνει ότι στηρίζομαι σε κάποιον. 'Κρύβομαι' εκφράζει απόκρυψη, 'μιλώ' και 'κοιτάζω' δεν εκφράζουν εξάρτηση από κάποιον."
"Γνώμη: είναι σαφές","'___ ότι χρειαζόμαστε μια νέα προσέγγιση.' Ποια φράση εισάγει κάτι που θεωρείται προφανές;","Είναι σαφές","Είναι αδύνατο","Είναι τυχαίο","Είναι άγνωστο","Το 'είναι σαφές ότι' σημαίνει ότι κάτι είναι ξεκάθαρο. 'Είναι αδύνατο' εκφράζει αδυναμία, 'είναι τυχαίο' τυχαιότητα, 'είναι άγνωστο' αβεβαιότητα."
"Συναίσθημα: λαχτάρα","'Νιώθω ___ να δω ξανά την οικογένειά μου.' Ποια λέξη εκφράζει έντονη επιθυμία ή πόθο;","λαχτάρα","ανία","απάθεια","ψυχραιμία","Η 'λαχτάρα' εκφράζει έντονη επιθυμία ή πόθο για κάτι. 'Ανία' εκφράζει βαρεμάρα, 'απάθεια' έλλειψη ενδιαφέροντος, 'ψυχραιμία' ηρεμία."
"Σχέση: σεβασμός","'Ο ___ είναι απαραίτητος σε κάθε σχέση.' Ποια λέξη σημαίνει ότι αναγνωρίζουμε την αξία κάποιου;","σεβασμός","εκμετάλλευση","αδιαφορία","κυριαρχία","Ο 'σεβασμός' σημαίνει αναγνώριση της αξίας του άλλου. 'Εκμετάλλευση' σημαίνει χρησιμοποίηση κάποιου, 'αδιαφορία' έλλειψη ενδιαφέροντος, 'κυριαρχία' εξουσία πάνω σε κάποιον."
"Γνώμη: δεν με πείθεις","'___ — νομίζω ότι τα πράγματα είναι πιο σύνθετα.' Ποια φράση εκφράζει ότι δεν αποδέχεσαι μια επιχειρηματολογία;","Δεν με πείθεις","Δεν με ακούς","Δεν με βλέπεις","Δεν με αφήνεις","Η φράση 'δεν με πείθεις' σημαίνει ότι τα επιχειρήματα κάποιου δεν με κάνουν να αλλάξω γνώμη. Οι άλλες φράσεις αναφέρονται σε άλλες ενέργειες."
"Σχέση: ζηλεύω","'___ τον αδερφό μου γιατί τα πάει καλύτερα στο σχολείο.' Ποιο ρήμα σημαίνει ότι νιώθω ζήλια για κάποιον;","Ζηλεύω","Θαυμάζω","Υποστηρίζω","Εκτιμώ","Το 'ζηλεύω' σημαίνει νιώθω ζήλια. 'Θαυμάζω' και 'εκτιμώ' εκφράζουν θετική εκτίμηση, 'υποστηρίζω' εκφράζει ενθάρρυνση."
"Γνώμη: έχω την άποψη","'___ άποψη ότι η κατάσταση θα βελτιωθεί.' Ποιο ρήμα στο πρώτο ενικό χρησιμοποιείται με τη λέξη 'άποψη';","Έχω την","Κάνω την","Λέω την","Πάω την","Η φράση 'έχω την άποψη' σημαίνει 'πιστεύω / θεωρώ'. Μόνο το ρήμα 'έχω' σχηματίζει αυτή τη φράση· 'κάνω', 'λέω', 'πάω' δεν συνδυάζονται με 'άποψη' με αυτό τον τρόπο."
