"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Σύνδεσμος: όταν + υποτακτική αορίστου (μέλλον)","'Θα σου τηλεφωνήσω ___ φτάσω στο σπίτι.' Ποια είναι η σωστή μορφή;","όταν","όταν θα","όταν να","ότι","Μετά από μελλοντική κύρια πρόταση ('θα σου τηλεφωνήσω'), το 'όταν' συντάσσεται με υποτακτική αορίστου χωρίς 'θα': 'όταν φτάσω'. Το 'όταν θα' είναι αγραμματικό — μετά το 'όταν' δεν μπαίνει 'θα'. Το 'όταν να' είναι επίσης αγραμματικό — το 'όταν' δεν παίρνει 'να'. Το 'ότι' εισάγει ειδική πρόταση, όχι χρονική — λάθος."
"Γενική: ουσιαστικό σε -ης","'Το γραφείο ___ είναι δίπλα.' Ποια είναι η σωστή μορφή;","του διευθυντή","τον διευθυντή","του διευθυντής","τους διευθυντή","Γενική ενικού αρσενικού σε -ης: 'του διευθυντή'. Η αιτιατική 'τον διευθυντή' είναι λάθος πτώση για κτήση. Το 'του διευθυντής' είναι αγραμματικό — η ονομαστική κατάληξη δεν ταιριάζει με γενικό άρθρο. Το 'τους διευθυντή' ανακατεύει πληθυντικό άρθρο με ενικό — αγραμματικό."
"Γενική: ουσιαστικό σε -ος","'Η κορυφή ___ είναι χιονισμένη.' Ποια είναι η σωστή μορφή;","του βουνού","το βουνό","του βουνό","των βουνού","Γενική ενικού ουδετέρου: 'του βουνού'. Το 'το βουνό' είναι ονομαστική/αιτιατική — λάθος πτώση. Το 'του βουνό' ανακατεύει γενικό άρθρο με ονομαστική — αγραμματικό. Το 'των βουνού' ανακατεύει πληθυντικό άρθρο με ενικό — αγραμματικό."
"Γενική: επίθετο + ουσιαστικό","'Το σπίτι ___ είναι μεγάλο.' Ποια είναι η σωστή μορφή;","του καλού φίλου","του καλό φίλο","τον καλό φίλο","του καλού φίλο","Συμφωνία σε γενική ενικού: 'του καλού φίλου'. Το 'του καλό φίλο' δεν συμφωνεί σε πτώση — αγραμματικό. Το 'τον καλό φίλο' είναι αιτιατική — λάθος πτώση. Το 'του καλού φίλο' έχει ασυμφωνία μεταξύ επιθέτου και ουσιαστικού — αγραμματικό."
"Γενική: ανισοσύλλαβο θηλυκό","'Τα παιχνίδια ___ είναι ακριβά.' Ποια είναι η σωστή μορφή;","της γιαγιάς","την γιαγιά","η γιαγιά","της γιαγιά","Γενική ενικού θηλυκού σε -α: 'της γιαγιάς'. Η αιτιατική 'την γιαγιά' είναι λάθος πτώση. Η ονομαστική 'η γιαγιά' είναι λάθος πτώση. Το 'της γιαγιά' έχει γενικό άρθρο αλλά ονομαστική μορφή — αγραμματικό."
"Γενική: ανώμαλη -έας/-έα","'Η γνώμη ___ μετράει.' Ποια είναι η σωστή μορφή;","του γραμματέα","τον γραμματέα","ο γραμματέας","του γραμματέας","Γενική ενικού αρσενικού σε -έας: 'του γραμματέα'. Η αιτιατική 'τον γραμματέα' μπορεί να έχει ίδια μορφή αλλά με αιτιατικό άρθρο — άρα λάθος πτώση εδώ. Η ονομαστική 'ο γραμματέας' είναι λάθος. Το 'του γραμματέας' ανακατεύει γενικό άρθρο με ονομαστική κατάληξη — αγραμματικό."
"Γενική: θηλυκό σε -η","'Τα αποτελέσματα ___ ήταν άσχημα.' Ποια είναι η σωστή μορφή;","της μάχης","την μάχη","η μάχη","της μάχη","Γενική ενικού θηλυκού σε -η: 'της μάχης'. Η αιτιατική 'την μάχη' είναι λάθος πτώση. Η ονομαστική 'η μάχη' είναι λάθος. Το 'της μάχη' έχει γενικό άρθρο με ονομαστική μορφή — αγραμματικό."
"Γενική: πληθυντικός αρσενικό -ες","'Τα παράπονα ___ ακούγονται παντού.' Ποια είναι η σωστή μορφή;","των πολιτών","τους πολίτες","οι πολίτες","των πολίτες","Γενική πληθυντικού αρσενικού: 'των πολιτών'. Το 'τους πολίτες' είναι αιτιατική — λάθος πτώση. Το 'οι πολίτες' είναι ονομαστική — λάθος. Το 'των πολίτες' ανακατεύει γενικό άρθρο με αιτιατική κατάληξη — αγραμματικό."
"Γενική: πληθυντικός ουδέτερο","'Τα ονόματα ___ είναι όλα ελληνικά.' Ποια είναι η σωστή μορφή;","των νησιών","τα νησιά","τις νησιά","των νησιά","Γενική πληθυντικού ουδετέρου: 'των νησιών'. Το 'τα νησιά' είναι ονομαστική/αιτιατική — λάθος πτώση. Το 'τις νησιά' ανακατεύει θηλυκό άρθρο με ουδέτερο ουσιαστικό — αγραμματικό. Το 'των νησιά' έχει γενικό άρθρο αλλά αιτιατική κατάληξη — αγραμματικό."
"Γενική: διπλή κτήση","'Ο φίλος ___ ήρθε.' Ποια είναι η σωστή μορφή;","του αδερφού μου","τον αδερφό μου","του αδερφός μου","του αδερφό μου","Γενική κτήσης: 'του αδερφού μου'. Το 'τον αδερφό μου' είναι αιτιατική — λάθος πτώση. Το 'του αδερφός μου' έχει γενικό άρθρο με ονομαστική κατάληξη — αγραμματικό. Το 'του αδερφό μου' έχει γενικό άρθρο με αιτιατική κατάληξη — αγραμματικό."
"Γενική: χρόνου/διάρκειας","'Εργάζομαι οκτώ ώρες ___ .' Ποια είναι η σωστή μορφή;","την ημέρα","τον ημέρα","η ημέρα","τη ημέρας","Στην έκφραση διάρκειας/συχνότητας χρησιμοποιούμε αιτιατική θηλυκού: 'την ημέρα' (per day). Το 'τον ημέρα' ανακατεύει αρσενικό άρθρο με θηλυκό ουσιαστικό — αγραμματικό. Το 'η ημέρα' είναι ονομαστική — λάθος πτώση. Το 'τη ημέρας' ανακατεύει αιτιατικό άρθρο με γενική κατάληξη — αγραμματικό."
"Γενική: μετά από ρήμα","'Η μουσική ___ αρέσει σε όλους.' Ποια είναι η σωστή μορφή;","του Μότσαρτ","τον Μότσαρτ","ο Μότσαρτ","των Μότσαρτ","Γενική κτήσης: 'η μουσική του Μότσαρτ'. Η αιτιατική 'τον Μότσαρτ' είναι λάθος πτώση. Η ονομαστική 'ο Μότσαρτ' είναι λάθος. Το 'των Μότσαρτ' είναι γενική πληθυντικού — λάθος αριθμός."
"Παθητική ενεστώτα: ανώμαλο ρήμα","'Η πρόταση ___ πάντα από τον πρόεδρο σε κάθε συνεδρίαση.' Ποια είναι η σωστή μορφή;","υποστηρίζεται","υποστηρίζει","υποστηρίζονται","υποστηρίζοντας","Παθητικός ενεστώτας γ' ενικού: 'υποστηρίζεται'. Η ενεργητική 'υποστηρίζει' δεν δέχεται ποιητικό αίτιο με 'από' — αγραμματική σύνταξη. Το 'υποστηρίζονται' είναι πληθυντικό — δεν συμφωνεί με το ενικό υποκείμενο 'η πρόταση'. Το 'υποστηρίζοντας' είναι μετοχή — δεν λειτουργεί ως ρήμα κύριας πρότασης."
"Παθητική ενεστώτα: -ομαι ρήμα","'Η γιορτή ___ κάθε χρόνο.' Ποια είναι η σωστή μορφή;","γιορτάζεται","γιορτάζει","γιορτάστηκε","γιορτάζονται","Παθητικός ενεστώτας ενικού: 'γιορτάζεται'. Η ενεργητική 'γιορτάζει' δεν εκφράζει παθητικό (= (κάποιος) γιορτάζει). Το 'γιορτάστηκε' είναι αόριστος — λάθος χρόνος. Το 'γιορτάζονται' είναι πληθυντικό — λάθος αριθμός."
"Παθητική ενεστώτα: αυτοπαθές","'Ο Γιάννης ___ μόνος του στον καθρέφτη κάθε πρωί.' Ποια είναι η σωστή μορφή;","ξυρίζεται","ξυρίζουν","ξυρίζονται","ξυρίζοντας","Μεσοπαθητικός ενεστώτας γ' ενικού (αυτοπαθές): 'ξυρίζεται'. Το 'ξυρίζουν' είναι γ' πληθυντικό — δεν συμφωνεί με το ενικό 'ο Γιάννης'. Το 'ξυρίζονται' είναι πληθυντικό — δεν συμφωνεί με ενικό υποκείμενο. Το 'ξυρίζοντας' είναι μετοχή — δεν λειτουργεί ως ρήμα κύριας πρότασης."
"Παθητική αόριστος: ανώμαλος","'Το γράμμα ___ πριν μία ώρα.' Ποια είναι η σωστή μορφή;","στάλθηκε","στέλνεται","έστειλε","σταλθούνε","Παθητικός αόριστος ενικού: 'στάλθηκε' (από το 'στέλνω'). Ο παθητικός ενεστώτας 'στέλνεται' είναι λάθος χρόνος. Το 'έστειλε' είναι ενεργητική φωνή. Το 'σταλθούνε' είναι υποτακτική αορίστου πληθυντικού — λάθος έγκλιση και αριθμός."
"Παθητική αόριστος: ανώμαλος (βρίσκω)","'Τα κλειδιά ___ χθες το πρωί μετά από μεγάλη αναζήτηση.' Ποια είναι η σωστή μορφή;","βρέθηκαν","βρέθηκε","βρεθούν","βρίσκοντας","Παθητικός αόριστος γ' πληθυντικού: 'βρέθηκαν'. Το 'βρέθηκε' είναι γ' ενικό — δεν συμφωνεί με το πληθυντικό 'τα κλειδιά'. Το 'βρεθούν' είναι υποτακτική — δεν λειτουργεί ως οριστική κύριας πρότασης χωρίς 'να/θα'. Το 'βρίσκοντας' είναι μετοχή — δεν λειτουργεί ως ρήμα κύριας πρότασης."
"Παθητική αόριστος: ανώμαλος (λέω)","'Αυτά τα λόγια ___ χθες στη συνάντηση από τον διευθυντή.' Ποια είναι η σωστή μορφή;","ειπώθηκαν","ειπώθηκε","ειπωθούν","ειπώνονται","Παθητικός αόριστος γ' πληθυντικού: 'ειπώθηκαν' (από το 'λέω'). Το 'ειπώθηκε' είναι γ' ενικό — δεν συμφωνεί με το πληθυντικό 'τα λόγια'. Το 'ειπωθούν' είναι υποτακτική — δεν λειτουργεί ως οριστική χωρίς 'να/θα'. Το 'ειπώνονται' δεν υπάρχει ως τύπος του ρήματος."
"Παθητική παρατατικός vs αόριστος","'Το παιδί ___ κάθε μέρα από τη μητέρα του.' Ποια είναι η σωστή μορφή;","φροντιζόταν","φροντίστηκε","φροντίζει","φροντίστηκαν","Για επαναλαμβανόμενη πράξη στο παρελθόν χρησιμοποιούμε παθητικό παρατατικό: 'φροντιζόταν'. Ο παθητικός αόριστος 'φροντίστηκε' εκφράζει μία πράξη — λάθος όψη. Το 'φροντίζει' είναι ενεργητικός ενεστώτας — λάθος φωνή και χρόνος. Το 'φροντίστηκαν' είναι πληθυντικό — λάθος αριθμός."
"Παθητική: ποιητικό αίτιο","'Το βιβλίο γράφτηκε ___ έναν διάσημο συγγραφέα.' Ποια είναι η σωστή μορφή;","από","από ο","από του","απ","Στο ποιητικό αίτιο χρησιμοποιούμε 'από' + αιτιατική: 'από έναν διάσημο συγγραφέα'. Το 'από ο' συνδυάζει 'από' με ονομαστικό άρθρο — αγραμματικό (το 'από' απαιτεί αιτιατική). Το 'από του' συνδυάζει 'από' με γενικό άρθρο — αγραμματικό. Το 'απ' χωρίς απόστροφο πριν από σύμφωνο είναι λάθος ορθογραφία/μορφή."
"Παθητική ενεστώτα: λόγιο ρήμα","'Ο νόμος ___ πάντα από όλους τους πολίτες χωρίς εξαίρεση.' Ποια είναι η σωστή μορφή;","τηρείται","τηρεί","τηρούνται","τηρώντας","Παθητικός ενεστώτας γ' ενικού: 'τηρείται'. Η ενεργητική 'τηρεί' δεν δέχεται ποιητικό αίτιο με 'από' — αγραμματική σύνταξη. Το 'τηρούνται' είναι γ' πληθυντικό — δεν συμφωνεί με το ενικό 'ο νόμος'. Το 'τηρώντας' είναι μετοχή — δεν λειτουργεί ως ρήμα κύριας πρότασης."
"Παθητική αόριστος: -ώ ρήμα","'Το πρόβλημα ___ χθες το βράδυ.' Ποια είναι η σωστή μορφή;","λύθηκε","λύνεται","έλυσε","λυθεί","Παθητικός αόριστος ενικού: 'λύθηκε'. Ο παθητικός ενεστώτας 'λύνεται' είναι λάθος χρόνος. Το 'έλυσε' είναι ενεργητική φωνή. Το 'λυθεί' είναι υποτακτική — λάθος έγκλιση."
"Αναφορική: του οποίου (κτήση)","'Ο συγγραφέας, ___ το βιβλίο διαβάζω, είναι Έλληνας.' Ποια είναι η σωστή μορφή;","του οποίου","ο οποίος","τον οποίο","των οποίων","Για κτήση σε αναφορική πρόταση θέλουμε γενική ενικού αρσενικού: 'του οποίου'. Η ονομαστική 'ο οποίος' είναι λάθος πτώση για κτήση. Η αιτιατική 'τον οποίο' είναι λάθος. Το 'των οποίων' είναι πληθυντικό — λάθος αριθμός."
"Αναφορική: της οποίας","'Η γυναίκα, ___ ο άντρας πέθανε, ζει μόνη.' Ποια είναι η σωστή μορφή;","της οποίας","η οποία","την οποία","του οποίου","Γενική ενικού θηλυκού για κτήση: 'της οποίας'. Η ονομαστική 'η οποία' είναι λάθος πτώση. Η αιτιατική 'την οποία' είναι λάθος. Το 'του οποίου' είναι αρσενικό — λάθος γένος."
"Αναφορική: με πρόθεση (για)","'Το θέμα ___ μιλάμε είναι σοβαρό.' Ποια είναι η σωστή μορφή;","για το οποίο","το οποίο","που το","για που","Όταν η αναφορική πρόταση περιέχει πρόθεση, χρησιμοποιούμε 'για το οποίο' (η πρόθεση + αναφορική αντωνυμία). Το 'το οποίο' χωρίς πρόθεση είναι ελλιπές. Το 'που το' είναι αγραμματική σύνταξη χωρίς πρόθεση. Το 'για που' δεν υπάρχει."
"Αναφορική: με πρόθεση (με)","'Ο φίλος ___ ταξίδεψα είναι γιατρός.' Ποια είναι η σωστή μορφή;","με τον οποίο","ο οποίος","τον οποίο","με που","Πρόθεση + αναφορική αντωνυμία: 'με τον οποίο'. Το 'ο οποίος' (ονομαστική) δεν δηλώνει τη συνοδεία. Το 'τον οποίο' χωρίς πρόθεση είναι ελλιπές. Το 'με που' είναι αγραμματικός συνδυασμός — το 'που' δεν δέχεται πρόθεση."
"Αναφορική: ουδέτερο αντικείμενο","'Το σπίτι ___ αγόρασαν είναι παλιό.' Ποια είναι η σωστή μορφή;","που","ο οποίος","η οποία","του οποίου","Το 'που' είναι αμετάβλητο και λειτουργεί ως αντικείμενο: 'που αγόρασαν'. Το 'ο οποίος' είναι αρσενικό — λάθος γένος. Το 'η οποία' είναι θηλυκό — λάθος γένος. Το 'του οποίου' είναι γενική — λάθος πτώση."
"Αναφορική: των οποίων","'Οι άνθρωποι ___ τα ονόματα ξεχάσαμε, ήρθαν ξανά.' Ποια είναι η σωστή μορφή;","των οποίων","οι οποίοι","τους οποίους","που τους","Γενική πληθυντικού για κτήση: 'των οποίων' (τα ονόματα τους). Η ονομαστική 'οι οποίοι' είναι λάθος πτώση για κτήση. Η αιτιατική 'τους οποίους' είναι λάθος. Το 'που τους' δεν είναι αναφορική αντωνυμία κτήσης εδώ."
"Αναφορική: με τον οποίο vs που","'Η εταιρεία ___ συνεργάζομαι είναι γερμανική.' Ποια είναι η σωστή μορφή;","με την οποία","την οποία","ο οποίος","με που","Το ρήμα 'συνεργάζομαι' παίρνει αντικείμενο με 'με': 'με την εταιρεία'. Άρα 'με την οποία'. Το 'την οποία' χωρίς πρόθεση χάνει τη σημασία. Το 'ο οποίος' είναι αρσενικό — λάθος γένος. Το 'με που' είναι αγραμματικό."
"Αναφορική: στην οποία","'Η πόλη ___ γεννήθηκα είναι μικρή.' Ποια είναι η σωστή μορφή;","στην οποία","η οποία","την οποία","σε που","Το ρήμα 'γεννιέμαι' θέλει 'σε' + τόπο: 'σε μια πόλη'. Άρα 'στην οποία'. Η ονομαστική 'η οποία' είναι λάθος πτώση. Η αιτιατική 'την οποία' χωρίς πρόθεση είναι ελλιπής. Το 'σε που' είναι αγραμματικό."
"Αναφορική: ανθρώπου vs πράγματος","'Ο δάσκαλος ___ μας έμαθε ελληνικά έφυγε.' Ποια είναι η σωστή μορφή;","που","το οποίο","τον οποίο","των οποίων","Το 'που' είναι το πιο κοινό αναφορικό για υποκείμενο: 'ο δάσκαλος που μας έμαθε'. Το 'το οποίο' είναι ουδέτερο — λάθος γένος. Το 'τον οποίο' είναι αιτιατική — λάθος πτώση για υποκείμενο ρήματος. Το 'των οποίων' είναι πληθυντικός γενικής — λάθος."
"Σύνδεσμος: ενώ (αντίθεση)","'Εκείνος ήταν πλούσιος, ___ την ίδια εποχή εμείς δεν είχαμε τίποτα.' Ποια είναι η σωστή μορφή;","ενώ","ενώ να","ενώ ότι","ενώ αν","Το 'ενώ' εκφράζει αντίθεση/ταυτοχρονισμό και συντάσσεται απευθείας με οριστική. Το 'ενώ να' συνδυάζει αντιθετικό σύνδεσμο με υποτακτικό μόριο — αγραμματικό. Το 'ενώ ότι' συνδυάζει δύο συνδέσμους διαφορετικής λειτουργίας — αγραμματικό. Το 'ενώ αν' συνδυάζει αντιθετικό με υποθετικό — αγραμματικό."
"Σύνδεσμος: αν + αόριστος υποτακτικής","'___ βρεις χρόνο αύριο, πέρασε από το γραφείο.' Ποια είναι η σωστή μορφή;","Αν","Αν θα","Όταν θα","Αφού θα","Στην πραγματική υπόθεση με αναφορά στο μέλλον: 'αν' + υποτακτική αορίστου ('βρεις'). Το 'αν θα' είναι αγραμματικό — το 'θα' δεν μπαίνει ποτέ μετά το 'αν'. Το 'όταν θα' είναι επίσης αγραμματικό — ούτε το 'όταν' δέχεται 'θα'. Το 'αφού θα' είναι αγραμματικός συνδυασμός — το 'αφού' δεν συντάσσεται με 'θα' σε παρελθοντικό/γενικό πλαίσιο."
"Σύνδεσμος: αν + αμφιβολία","'Δεν ξέρω ___ θα έρθει.' Ποιος είναι ο σωστός σύνδεσμος;","αν","ότι","όταν","ενώ","Το 'αν' εδώ εισάγει πλάγια ερώτηση (whether): 'δεν ξέρω αν'. Εδώ επιτρέπεται το 'θα' γιατί η πλάγια ερώτηση δέχεται μέλλοντα. Το 'ότι' είναι καταφατική δήλωση — λάθος. Το 'όταν' είναι χρονικό — λάθος. Το 'ενώ' είναι αντιθετικό — λάθος."
"Σύνδεσμος: αφού + αόριστος","'___ τελείωσε την εργασία, την παρέδωσε αμέσως.' Ποια είναι η σωστή μορφή;","Αφού","Αφού να","Αφού ότι","Αφού θα","Το 'αφού' + οριστική αορίστου εκφράζει χρονική διαδοχή. Το 'αφού να' συνδυάζει χρονικό σύνδεσμο με υποτακτικό μόριο — αγραμματικό. Το 'αφού ότι' συνδυάζει δύο συνδέσμους — αγραμματικό. Το 'αφού θα' συνδυάζει χρονικό με μελλοντικό μόριο σε παρελθοντικό πλαίσιο — αγραμματικό."
"Σύνδεσμος: όταν + υποτακτική","'___ τον δεις, πες του να με πάρει.' Ποιος είναι ο σωστός σύνδεσμος;","Όταν","Ότι","Ενώ","Αφού τον","Το 'όταν' + υποτακτική αορίστου εκφράζει μελλοντική χρονική συνθήκη: 'όταν τον δεις'. Το 'ότι' εισάγει ειδική — λάθος. Το 'ενώ' εκφράζει ταυτόχρονη διαρκή πράξη — λάθος. Το 'αφού τον' είναι ελλιπές — λείπει η σύνταξη."
"Σύνδεσμος: ενώ + παρατατικός","'___ περπατούσα, είδα έναν παλιό φίλο.' Ποια είναι η σωστή μορφή;","Ενώ","Ενώ να","Όταν να","Μόλις να","Το 'ενώ' + παρατατικός εκφράζει διαρκή πράξη στο παρελθόν κατά την οποία συνέβη κάτι άλλο. Το 'ενώ να' συνδυάζει σύνδεσμο με υποτακτικό μόριο — αγραμματικό. Το 'όταν να' είναι αγραμματικός συνδυασμός — το 'όταν' δεν παίρνει 'να'. Το 'μόλις να' είναι επίσης αγραμματικός συνδυασμός."
"Σύνδεσμος: αν + παρατατικός","'___ είχα χρόνο, θα ερχόμουν μαζί σας.' Ποια είναι η σωστή σύνταξη;","Αν είχα","Αν θα είχα","Αν έχω","Όταν είχα","Στην εξωπραγματική υπόθεση: 'αν' + παρατατικός, 'θα' + παρατατικός. Το 'αν θα είχα' είναι λάθος — το 'θα' δεν μπαίνει μετά το 'αν'. Το 'αν έχω' (ενεστώτας) θα ήταν πραγματική υπόθεση — λάθος είδος. Το 'όταν είχα' είναι χρονικό — λάθος σύνδεσμος."
"Σύνδεσμος: αφού + αόριστος (χρονικό)","'___ είδαμε την ταινία ολόκληρη, πήγαμε αμέσως για φαγητό.' Ποια είναι η σωστή μορφή;","Αφού","Αφού να","Αφού θα","Αφού ότι","Το 'αφού' + οριστική αορίστου δηλώνει μεταγενέστερη ολοκληρωμένη πράξη. Το 'αφού να' συνδυάζει σύνδεσμο με υποτακτικό μόριο — αγραμματικό. Το 'αφού θα' συνδυάζει με μελλοντικό μόριο σε παρελθοντικό πλαίσιο — αγραμματικό. Το 'αφού ότι' συνδυάζει δύο συνδέσμους διαφορετικής λειτουργίας — αγραμματικό."
"Σύνδεσμος: αφού (αιτιολογικό με υποτακτική)","'___ δεν θέλεις να έρθεις, θα πάω μόνος μου.' Ποιος είναι ο σωστός σύνδεσμος;","Αφού","Αφού να","Αν θα","Ενώ να","Το 'αφού' εδώ έχει αιτιολογική σημασία (= εφόσον) και συντάσσεται απευθείας με οριστική: 'αφού δεν θέλεις'. Το 'αφού να' είναι αγραμματικό — το 'αφού' δεν παίρνει 'να'. Το 'αν θα' είναι αγραμματικό — το 'θα' δεν μπαίνει μετά το 'αν'. Το 'ενώ να' είναι αγραμματικός συνδυασμός — το 'ενώ' δεν παίρνει 'να'."
